order,product,collection,workspace_id,article_id,title,url,state,created_at,updated_at
91,Supervisor App,User Management- Supervisor App,e4gi378c,9619247,Windows Login - How to Enroll Badge,https://oloid.help/en/articles/9619247-windows-login-how-to-enroll-badge,published,2024-07-17 09:45:42,2026-08-27 06:50:46
133,Supervisor App,Installation and Configuration of Supervisor App,e4gi378c,9059601,Windows Login - How to Manually Pair the Supervisor App,https://oloid.help/en/articles/9059601-windows-login-how-to-manually-pair-the-supervisor-app,published,2024-03-12 09:42:53,2026-08-25 08:00:17
149,Supervisor App,Installation and Configuration of Supervisor App,e4gi378c,9036798,How to pair Supervisor App using Config file,,draft,2024-03-06 08:16:09,2026-08-24 10:24:52
189,Supervisor App,Enroll Badge - Supervisor App,e4gi378c,9046439,Windows Login - How to Enroll Badge and PIN using Supervisor App,https://oloid.help/en/articles/9046439-windows-login-how-to-enroll-badge-and-pin-using-supervisor-app,published,2024-03-08 09:30:07,2026-08-14 10:04:03
196,Supervisor App,Credential Management - Supervisor App,e4gi378c,11721445,Windows Login - How to Enroll PC/SC Badge using Supervisor App,https://oloid.help/en/articles/11721445-windows-login-how-to-enroll-pc-sc-badge-using-supervisor-app,published,2025-07-07 08:01:55,2026-08-13 10:01:55
197,Supervisor App,Credential Management - Supervisor App,e4gi378c,11580899,Windows Login - How to Update Badge,https://oloid.help/en/articles/11580899-windows-login-how-to-update-badge,published,2025-06-16 08:53:42,2026-08-13 10:01:41
198,Supervisor App,Enroll Badge - Supervisor App,e4gi378c,9182563,Windows Login - How to Enroll Badge using Supervisor App,https://oloid.help/en/articles/9182563-windows-login-how-to-enroll-badge-using-supervisor-app,published,2024-04-11 06:13:07,2026-08-13 10:01:02
199,Supervisor App,Credential Management - Supervisor App,e4gi378c,14338949,Windows Login - How to Create Shared Windows Passkey in Supervisor App,https://oloid.help/en/articles/14338949-windows-login-how-to-create-shared-windows-passkey-in-supervisor-app,published,2026-03-31 08:12:57,2026-08-13 09:59:41
200,Supervisor App,Credential Management - Supervisor App,e4gi378c,13842978,Windows Login - How to Create Passkey for a User in Supervisor App,https://oloid.help/en/articles/13842978-windows-login-how-to-create-passkey-for-a-user-in-supervisor-app,published,2026-02-24 08:33:02,2026-08-13 09:59:12
201,Supervisor App,Credential Management - Supervisor App,e4gi378c,15457358,Windows Login - How to Add QR Code using Supervisor App,https://oloid.help/en/articles/15457358-windows-login-how-to-add-qr-code-using-supervisor-app,published,2026-06-11 07:41:42,2026-08-13 09:56:40
202,Supervisor App,Credential Management - Supervisor App,e4gi378c,9045726,Windows Login - How to create Shared Password using the Supervisor App,https://oloid.help/en/articles/9045726-windows-login-how-to-create-shared-password-using-the-supervisor-app,published,2024-03-08 05:05:13,2026-08-13 09:55:46
219,Supervisor App,Platform Configuration - Supervisor App,e4gi378c,9182568,Windows Login - How to Enable Enroll Badge Option for Supervisor App,https://oloid.help/en/articles/9182568-windows-login-how-to-enable-enroll-badge-option-for-supervisor-app,published,2024-04-11 06:17:22,2026-08-11 08:46:53
220,Supervisor App,User Management- Supervisor App,e4gi378c,9546517,Windows Login - How to delete users using Supervisor App,https://oloid.help/en/articles/9546517-windows-login-how-to-delete-users-using-supervisor-app,published,2024-07-01 13:29:18,2026-08-11 08:17:27
