order,product,collection,workspace_id,article_id,title,url,state,created_at,updated_at
521,Supervisor Portal,Supervisor Portal - Create &amp; Manage Endpoints,e4gi378c,11494143,How to create Windows Login endpoint in Supervisor Portal,,draft,2025-06-02 06:04:28,2026-05-28 10:02:53
1078,Supervisor Portal,Supervisor Portal - Create &amp; Manage Users,e4gi378c,9706862,How to Assign Windows Shared Passwords to Multiple Users in Supervisor Portal,https://oloid.help/en/articles/9706862-how-to-assign-windows-shared-passwords-to-multiple-users-in-supervisor-portal,published,2024-08-06 10:52:45,2025-07-11 06:58:07
1083,Supervisor Portal,Supervisor Portal - Videos,e4gi378c,10530787,How to add CloudKey as credential to users- Video Tutorial,https://oloid.help/en/articles/10530787-how-to-add-cloudkey-as-credential-to-users-video-tutorial,published,2025-02-10 06:26:24,2025-02-28 11:30:36
1145,Supervisor Portal,Supervisor Portal - Videos,e4gi378c,11496901,Supervisor Portal - Video Tutorial,https://oloid.help/en/articles/11496901-supervisor-portal-video-tutorial,published,2025-06-02 13:02:20,2025-06-02 13:03:56
1147,Supervisor Portal,Supervisor Portal - Videos,e4gi378c,11484025,How to create an Oloid account for users in Supervisor Portal,https://oloid.help/en/articles/11484025-how-to-create-an-oloid-account-for-users-in-supervisor-portal,published,2025-05-30 06:41:52,2025-05-30 06:45:30
1151,Supervisor Portal,Supervisor Portal - Videos,e4gi378c,10558977,How to Install and Auto-Pair Windows Authenticator App through MDM- Video Tutorial,https://oloid.help/en/articles/10558977-how-to-install-and-auto-pair-windows-authenticator-app-through-mdm-video-tutorial,published,2025-02-14 10:28:02,2025-05-27 08:47:17
1152,Supervisor Portal,Supervisor Portal - Videos,e4gi378c,11461046,How to view and download user transaction in Supervisor Portal- Video Tutorial,https://oloid.help/en/articles/11461046-how-to-view-and-download-user-transaction-in-supervisor-portal-video-tutorial,published,2025-05-27 05:22:08,2025-05-27 05:32:05
1153,Supervisor Portal,Supervisor Portal - Videos,e4gi378c,11461009,How to create Oloid Account for multiple users in Supervisor Portal - Video Tutorial,https://oloid.help/en/articles/11461009-how-to-create-oloid-account-for-multiple-users-in-supervisor-portal-video-tutorial,published,2025-05-27 04:48:23,2025-05-27 05:04:35
1154,Supervisor Portal,Supervisor Portal - Create &amp; Manage Users,e4gi378c,9711943,Supervisor Portal - How to create Oloid Account for multiple users,https://oloid.help/en/articles/9711943-supervisor-portal-how-to-create-oloid-account-for-multiple-users,published,2024-08-07 10:29:00,2025-05-27 04:58:33
1155,Supervisor Portal,Supervisor Portal - Create &amp; Manage Users,e4gi378c,9673602,Supervisor Portal - How to activate or deactivate user,https://oloid.help/en/articles/9673602-supervisor-portal-how-to-activate-or-deactivate-user,published,2024-07-30 04:39:17,2025-05-27 04:40:49
